0.0	2 Welcome
	это очень интересно, но для того, чтобы на самом деле дать вам инструменты, чтобы вы знаете, делать то, что возможно сейчас с глубоким обучением, мы должны двигаться довольно быстро 
	поэтому мы будем в основном очень прагматичным подходом и рассмотрим множество задач, которые очень конкретны и полезны для людей 
	и в некотором смысле идеальное понимание языка-это так называемая AI complete проблема в том смысле, что вам нужно решить почти все другие AI 
	право 
	Я могу говорить о планировании 
	Я могу говорить о своем двигательном контроле в роботе 
	Я говорю о визуальных материалов 
	и если вы действительно хотите понять, что значит зелень, вы знаете или синий 
	как ты это делаешь, не видя внешнего мира и так далее 
	так что это очень сложная проблема, и во многом мы ее упростить
12.45	8 NLP Levels
	одна вещь, которая была довольно хорошо установлена внутри НЛП, - это разные уровни языковой репрезентации и навыков и 
	Итак, это начинается с речи или в случае многих компьютеров, у которых на самом деле нет микрофонов 
	или не запрограммирован для работы с речью с необработанным текстом, это могут быть пиксельные сканы и в формате PDF или что-то еще 
	в случае речи будет затем делать фонетику или фонологию 
	это просто подполье, которое имеет дело, это в основном мы пытаемся понять речь и отобразить ее в систему, которую люди могут понять и проанализировать 
	и в случае текста мы могли бы сделать, оптического распознавания символов и разметки 
	просто нахожу слово "делать", слова заканчиваются и начинаются. 
	и этот вид, вы знаете, токенизация довольно проста для английского языка, верно, у нас просто есть пространства 
	но для других языков, таких как китайский, вы можете не знать, где начинается или заканчивается конкретное слово 
	как только вы скажете, Хорошо, у меня есть хотя бы приблизительные слова, с которыми я хочу иметь дело 
	затем вы можете попытаться понять и проанализировать эти слова, и это подполе морфологии 
	и опять же для лингвистов вы можете начать съеживаться здесь, потому что любой из этих, Вы знаете, ящиков может быть своим собственным классом 
	Итак, мы смотрим на НЛП с высоты птичьего полета, и я прошу прощения у всех настоящих лингвистов в зале, которые сейчас могут съежиться. 
	поэтому морфология в основном пытается понять, как строятся слова, вы знаете, если они являются префиксами 
	так что я мог бы быть это, к сожалению, так далее будет префикс общего слова, к сожалению, например 

	как только вы понимаете слова И, знаете, их значение, вы в целом и своего рода традиционное НЛП вы переходите к синтаксическому анализу, пытаясь понять, как слова складываются вместе 
	таким образом, я могу иметь Cheezburger, например, не звучит как синтаксически правильная фраза в английском языке 
	и синтаксический или синтаксис в основном говорит вам, что такое разумная синтаксическая фраза 
	как эта грамматика была, что грамматические, что это безграмотно и так далее 
	многие люди в традиционном, я знаю, ключе предположили бы, что вам нужно иметь морфологический и синтаксический порядок понимания, чтобы перейти к следующему 
	но мы действительно увидим, что в некоторых случаях глубокое обучение может двигаться прямо в интерпретации семантики или семантики 
	который в основном имеет дело с попыткой понять значение не только отдельных слов, но и того, как они составляют полное предложение 
	и как только мы понимаем значение предложения, которое также является сложным, и есть много разных определений того, что на самом деле означает предложение 
	как только мы поймем, что мы можем, возможно, перейти к анализу дискурса или прагматике, которая пытается разобраться и пытается понять, как несколько предложений из смысла всей истории, вы знаете, роман или, вы знаете, разговор между людьми 
	что может быть очень полезно, когда вы хотите иметь телефон агента или что-то, что может позволить вам забронировать билет на самолет и хочет, чтобы отслеживать, что вы уже говорили в прошлом 
	мы в основном сосредоточимся на синтаксических и семантических интерпретациях в классе, но будет немного фонетики, потому что и в фонологии, потому что распознавание речи было несколько революционизировано глубоким обучением 
	таким образом, это все еще часть НЛП многие люди помещают речь в небольшой подраздел из четырех, отдельный от НЛП, но очевидно, что речь является частью обработки языка 
	поэтому в основном будут сосредоточены на семантических и синтаксических интерпретациях, которые
	так что те, которые ближе к реальным задачам, которые мы могли бы заботиться о 
	так что же это могут быть за вопросы? 
	до сих пор о различных уровнях LP просто царапина головы хорошо
16.25	9 (A tiny simple) NLP applications
19.26	10 NLP in industry
21.43	11 Why is NLP hard?
	Итак, давайте один очень очень упрощенный слайд о том, почему обработка естественного языка на самом деле трудно
	поэтому я как бы намекал на это раньше, но на самом деле существует огромное количество сложностей в представлении и автоматическом изучении множества различных типов знаний
	Итак, у нас есть лингвистические знания 
	мы знаем, что грамматика, вы знаете, какие предложения дают нам, вы знаете, какие предложения правильные или нет 
	у нас есть ситуативные знания я знаю, что есть определенные вещи, которые я могу сказать в определенных ситуациях, а не в других 
	у нас есть много знаний о мире визуальные знания, которые мы могли бы иметь в виду и так далее
	так что это один из примеров
	так вот, например, давайте предположим, что мы пытаемся построить алгоритм, который понимает, кто она есть в этом предложении прямо здесь
	итак, все кончено, Джейн ударила Джун, а потом упала.
	так кто же она теперь? 
	хорошо, подожди, ОП. 
	Джун верно
	а потом, но теперь это приговоры, которые Джейн вынесла Джун, а потом она сбежала.
	так что теперь вы знаете, что это на самом деле почти двусмысленно, двусмысленно снова, потому что это может быть хорошо, что вы спрятались и хотите убежать, или вы кого-то ударили, а затем убежали
	Итак, снова есть почти ситуационное знание, но здесь вы знаете, что это скорее Джейн, чем Джун 
	и это в некотором смысле вероятностно, но в первом случае совершенно ясно, что это был Джун. 
	и
	таким образом, как мы теперь представляем те, что мы просто вы знаете, для нас очень интуитивно, кто она зависит от глагола 
	как мы прививаем это в алгоритм 
	и это будет один из больших вопросов, и мы предоставим один, так что вы должны знать глубокое обучение, и это не единственный, но это на самом деле один, что я думаю, что движение вперед будет очень мощным
	Итак, это первая большая проблема, а затем вторая-двусмысленность
	Итак, у нас есть предложение: я заставил ее пригнуться.
	Итак, кто здесь вы знаете интерпретацию того, что это может означать перефразировано 
	да точно 
	Я сделал ей утку, и она оказалась очень вкусной. 
	вы знаете 
	точно, может быть, в конце у вас есть деревянная утка или что-то еще
	и ты сделал ее, ты вырезал ее для нее, да. 
	именно так 
	как это 
	и есть один, есть и четвертый, мертвый ...  
	да 
	вы что 
	как генеральный план 
	интересно, конечно. 
	Я не думал об этом, прежде чем есть один, который на самом деле очень похож на первый, который вы знаете, я готовлю утку для нее, которая может быть я приготовил утку, что она владела
	так что я на самом деле заставил ее пригнуться, а не ты знаешь о других моих друзьях
	так много двусмысленности правильно, и вы, вероятно, можете думать еще больше
24.50	12 What's deep learning (DL)?
в порядке
так что приводит нас к глубокому познанию 
хотя здесь есть некоторые проблемы, которые я поднял, что я не знаю, Может ли глубокое обучение решить это еще 
в основном, что такое глубокое обучение 
это подполе машинного обучения 
следовательно, предпосылка 229 очень полезна 
и чтобы действительно оценить разницу между традиционным машинным обучением и глубоким обучением, мы должны посмотреть, как вы знаете, как традиционное машинное обучение решает некоторые действительно сложные задачи
так давайте возьмем хорошо Semi-трудная задача нахождения именованных сущностей 
просто идентифицируя, что вы знаете, как Энн Хэтэуэй-человек, а Berkshire Hathaway-компания, например 
мы можем посмотреть на традиционные системы, которые используют, например, графические модели, такие как условные случайные поля (conditional random fields)
и посмотрите, как они на самом деле решили эту задачу 
и то, что мы наблюдаем, это то, что действительно, как только вы копаетесь в нем, и вы пытаетесь улучшить систему или пытаетесь действительно понять, как она работает 
вы обнаружите, что наиболее важным аспектом этого не является условное случайное поле, которое дает вам модель последовательности сверху 
это действительно функции, которые представляют решение, которые представляют собой своего рода вход, который мы даем алгоритму машинного обучения
поэтому для распоз+-





















































































































































































































































































навания именованных сущностей, например, мы рассмотрим текущее слово предыдущее слово в следующем слове, которые довольно просты 
и тогда мы могли бы также посмотреть на характер n-грамм
так что ты знаешь, если это утка, то это D, ты видишь, ты видишь K и все такое.
Итак, символьные триграммы или Грэма, которые просто случаются после того, как аспирант посмотрел на вас, вы знаете, что такие ошибки достаточно долго обнаружили, что это полезная функция, которая провела некоторые эксперименты, которые помогли в разработке набора и так далее, вы можете запустить POS-теггер
таким образом, часть речи tagger, что теперь это совершенно отдельная система, но вы знаете, о, вы знаете, что часто именованные сущности являются существительными
таким образом, это явно помогает иметь часть речи
Итак, теперь вы в основном запустили другую систему машинного обучения, которая также является теггером последовательности во всем документе и сказала, что это существительное как прилагательное и так далее
так что вы не знаете, не идеально, если вы должны построить сейчас трубопроводную систему 
это запускает одну систему, и эта первая система не изменяется тем, что вы хотите сделать впоследствии 
вы можете посмотреть на окружающую часть речевых последовательностей форма слова фактического слова в вопросе, Что такое форма слова в основном говорит вам, что капитализация-это слово все заглавные буквы или только первая буква или это ваша дочь без заглавных букв в слове и так далее, и как я мог бы продолжить
таким образом, это всего лишь подмножество всех функций, которые в конечном итоге находятся в системе, которая теперь делает своего рода профессиональное современное распознавание объектов и
таким образом, в этом виде машинного обучения мы просто становимся чем-то вроде того, что сводится к оптимизации весов, чтобы сделать окончательный прогноз 
и Весы, О, я думаю, и вы знаете это с таким видом формы слова все заглавные буквы, а следующее слово, которое вы знаете, на полпути или что-то в этом роде, тогда это правильно, это, вероятно, такой именованный объект
так что действительно да, это своего рода это все, что делает машинное обучение в этом случае он имеет все эти веса, и он находит, что пытается оптимизировать вы знаете, насколько важна эта функция в корреляции в связи с этой функцией и так далее
28.03	13 Machine learning vs deep learning
	14 What's deep learning (DL)?
	15 On the history and term of "deep learning"
	16 Reasons for exploring Deep Learning
	17 Reasons for exploring Deep Learning
	18 Deep Learning for speech
	19 Deep Learning for computer vision
	20 Deep Learning + NLP = Deep NLP
	21 Representations at NLP levels: phonology
	22 Representations at NLP levels: morphology
	23 Neural word vectors - visualization
	24 Representations at NLP levels: syntax
	25 Representations at NLP levels: semantics
	26 NLP Applications: Sentiment analisys
	27 question answering
	28 Machine translation
	29 Machine translation
	30 Machine translation
	31 Dynamic memory network by MetaMind
	32 Representation for all levels: Vectors
